"label","id","group"
"ACADEMIA COLOMBIANA DE JURISPRUDENCIA",59,"THINK"
"ADOLFO LEON LOPEZ GIRALDO",100,"INDIVIDUAL"
"ADRIANA CHAVES RAMOS",31,"INDIVIDUAL"
"ADRIANA MIREYA MENDOZA, SERGIO NICOLAS SIERRA",198,"INDIVIDUAL"
"AFIN COLOMBIA",117,"TRADE"
"ALBERTO RUEDA MONTENEGRO",70,"INDIVIDUAL"
"ALCIDES CANTILLO FLOREZ, CESAR AUGUSTO GIRALDO",282,"INDIVIDUAL"
"ALEJANDRO AUGUSTO BANOL BETANCUR, LAURA GERTRUDIS BANOL BETANCUR",10,"INDIVIDUAL"
"ALEXANDER LOPEZ MAYA",99,"INDIVIDUAL"
"ALFREDO CASTANO MARTINEZ",66,"INDIVIDUAL"
"ALIRIO URIBE, ALBERTO CASTILLA, IVAN CEPEDA",227,"INDIVIDUAL"
"ALVARO OCHOA MORALES",9,"INDIVIDUAL"
"ALVARO ROJAS CHARRY",42,"INDIVIDUAL"
"ANA LUCIA GUTIERREZ",18,"INDIVIDUAL"
"ANDI",52,"TRADE"
"ANDREA CHEER LEYVA",50,"INDIVIDUAL"
"ANDRES DE ZUBIRIA SAMPER",65,"INDIVIDUAL"
"ANGELA VIVIANA ESTEBAN Y OTROS",187,"INDIVIDUAL"
"ANGELICA JARAMILLO RIVERA",154,"INDIVIDUAL"
"ANTONIO CABALLERO",48,"INDIVIDUAL"
"ANTONIO EDUARDO BOHORQUEZ COLLAZOS",68,"INDIVIDUAL"
"ANTONIO PANESSO ROBLEDO, PLINIO APULEYO MENDOZA",49,"INDIVIDUAL"
"ARMANDO LOPEZ CORTES",168,"INDIVIDUAL"
"ARTURO BESADA LOMBANA, JERSON ALVARADO MENDOZA, JOSE MIGUEL CUESTA MURGAS, MILCIADES RAMIREZ MELO, OWER JIMMY BORDA PARRA, BONIFACIO CHICUNQUE JUAJIBIOY",83,"INDIVIDUAL"
"ASOCIACION COLECTIVO DERECHOS, DIVERSIDAD Y SELVAS",241,"ADVOCACY"
"ASOCIACION COLOMBIANA DE AVIADORES CIVILES",53,"LABOR"
"ASOCIACION COLOMBIANA DE CAMIONEROS",54,"LABOR"
"ASOCIACION COLOMBIANA DE CORREDORES DE SEGUROS",125,"LABOR"
"ASOCIACION COLOMBIANA DE EMPRESAS DE MEDICINA INTEGRAL",129,"TRADE"
"ASOCIACION COLOMBIANA DE MINERIA",224,"TRADE"
"ASOCIACION COLOMBIANA DE UNIVERSIDADES",262,"UNIVERSITY"
"ASOCIACION CONSEJO REGIONAL DEL PUEBLO NASA DEL PUTUMAYO",234,"ADVOCACY"
"ASOCIACION DE DOCENTES PENSIONADOS DE CERETE",268,"LABOR"
"ASOCIACION DE LAS MICRO PEQUENAS Y MEDIANAS EMPRESAS",144,"TRADE"
"ASOCIACION DE MAESTROS JUBILADOS DEL CAUCA",281,"LABOR"
"ASOCIACION EMPRESARIAL PARA EL DESARROLLO DE LA ORINOQUIA",248,"TRADE"
"ASOCIACION HORTIFRUTICULA DE COLOMBIA",200,"TRADE"
"ASOCIACION NACIONAL DE ABOGADOS LITIGANTES",2,"LABOR"
"ASOCIACION NACIONAL DE CAJAS DE COMPESACION FAMILIAR",107,"TRADE"
"ASOCIACION NACIONAL DE FONDOS DE EMPLEADOS",105,"TRADE"
"ASOCIACION NACIONAL DE MEDIOS DE COMUNICACION",36,"TRADE"
