amici_name,amici_type,plead
RAFAEL BARRIOS MENDIVIL,INDIVIDUAL,UNCONSTITUTIONAL
ASOCIACION NACIONAL DE ABOGADOS LITIGANTES,LABOR,UNCONSTITUTIONAL
"NELSON EDUARDO VERA OROZCO, HERNAN GARCIA CONTRERAS",INDIVIDUAL,UNCONSTITUTIONAL
"MARIA CONSUELO DEL RIO, ROBERTO MOLINA PALACIO, RODRIGO UPRIMNY",INDIVIDUAL,UNCONSTITUTIONAL
CORPORACION COLECTIVO DE ABOGADOS JOSE ALVEAR RESTREPO,ADVOCACY,UNCONSTITUTIONAL
PEDRO PABLO CAMARGO ,INDIVIDUAL,UNCONSTITUTIONAL
JAVIER GAVIRIA BAZZAN,INDIVIDUAL,UNCONSTITUTIONAL
LUIS FERNANDO TABORDA LOPEZ,INDIVIDUAL,UNCONSTITUTIONAL
ALVARO OCHOA MORALES,INDIVIDUAL,UNCONSTITUTIONAL
"ALEJANDRO AUGUSTO BANOL BETANCUR, LAURA GERTRUDIS BANOL BETANCUR",INDIVIDUAL,UNCONSTITUTIONAL
RECLUSOS DE LA CARCEL DISTRITAL DE PEREIRA,INDIVIDUAL,UNCONSTITUTIONAL
FELIX VEGA PEREZ,INDIVIDUAL,UNCONSTITUTIONAL
"DARIO GONZALEZ VASQUEZ, FERNANDO MESA MORALES, JULIO GONZALEZ ZAPATA",INDIVIDUAL,UNCONSTITUTIONAL
EMPRESA DE TRANSPORTE MASICO DEL VALLE DE ABURRA,TRADE,CONSTITUTIONAL
INSTITUTO COLOMBIANO DE DERECHO TRIBUTARIO,THINK,CONSTITUTIONAL
GUSTAVO ZAFRA ROLDAN,INDIVIDUAL,CONSTITUTIONAL
JESUS VALLEJO MEJIA,INDIVIDUAL,CONSTITUTIONAL
ANA LUCIA GUTIERREZ,INDIVIDUAL,UNCONSTITUTIONAL
JAIME MORENO BERNAL,INDIVIDUAL,UNCONSTITUTIONAL
COMISION COLOMBIANA DE JURISTAS,ADVOCACY,UNCONSTITUTIONAL
VICENTE EMILIO GAVIRIA,INDIVIDUAL,CONSTITUTIONAL
WILLIAM FERNANDO TORRES TOPAGA,INDIVIDUAL,CONSTITUTIONAL
PEDRO PABLO CAMARGO,INDIVIDUAL,UNCONSTITUTIONAL
CARLOS GERMAN CAYCEDO ESPINEL,INDIVIDUAL,CONSTITUTIONAL
UNIVERSIDAD NACIONAL,UNIVERSITY,CONSTITUTIONAL
JOSE ANTONIO MONTAÑEZ,INDIVIDUAL,UNCONSTITUTIONAL
"CARLOS MORENO NOVOA, TITO CORTES RUBIO",INDIVIDUAL,UNCONSTITUTIONAL
FREDDY GUTIERREZ SAJAUD,INDIVIDUAL,UNCONSTITUTIONAL
CLARA SAAVEDRA SALAZAR,INDIVIDUAL,CONSTITUTIONAL
JORGE HERNAN GIL ECHEVERRY,INDIVIDUAL,CONSTITUTIONAL
HUGO PALACIOS MEJIA,INDIVIDUAL,CONSTITUTIONAL
ADRIANA CHAVES RAMOS,INDIVIDUAL,CONSTITUTIONAL
GASPAR CABALLERO SIERRA,INDIVIDUAL,CONSTITUTIONAL
HUGO PALACIOS MEJIA ,INDIVIDUAL,CONSTITUTIONAL
LUIS ALFONSO ROJAS ROSILLO,INDIVIDUAL,CONSTITUTIONAL
UNION DE ASEGURADORES COLOMBIANOS FASECOLDA,TRADE,CONSTITUTIONAL
CONFEDERACION COLOMBIANA DE CAMARAS DE COMERCIO CONFECAMARAS,TRADE,CONSTITUTIONAL
ASOCIACION NACIONAL DE MEDIOS DE COMUNICACION,TRADE,CONSTITUTIONAL
JORGE ENRIQUE PEÑA VILLAMIL,INDIVIDUAL,UNCONSTITUTIONAL
SIXTA ADELA GUZMAN TORRES ,INDIVIDUAL,UNCONSTITUTIONAL
MONICA PEDROZA GARCES,INDIVIDUAL,CONSTITUTIONAL
"MARIA CAMILA CAMACHO, JUANITA RAMIREZ",INDIVIDUAL,CONSTITUTIONAL
MARIO FERNANDEZ HERRERA ,INDIVIDUAL,CONSTITUTIONAL
ALVARO ROJAS CHARRY,INDIVIDUAL,CONSTITUTIONAL
"UNIVERSIDAD JAVERIANA, ASOCIACION COLOMBIANA DE FACULTADES DE COMUNICACION SOCIAL",UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD DE LA SABANA ,UNIVERSITY,CONSTITUTIONAL
CIRCULO DE PERIODISTAS DE BOGOTA,LABOR,CONSTITUTIONAL
JUAN LOZANO RAMIREZ,INDIVIDUAL,UNCONSTITUTIONAL
UNIVERSIDAD CENTRAL ,UNIVERSITY,CONSTITUTIONAL
ANTONIO CABALLERO,INDIVIDUAL,UNCONSTITUTIONAL
"ANTONIO PANESSO ROBLEDO, PLINIO APULEYO MENDOZA",INDIVIDUAL,UNCONSTITUTIONAL
ANDREA CHEER LEYVA,INDIVIDUAL,UNCONSTITUTIONAL
JOSE ALFREDO GOMEZ RUIZ,INDIVIDUAL,UNCONSTITUTIONAL
ANDI,TRADE,CONSTITUTIONAL
ASOCIACION COLOMBIANA DE AVIADORES CIVILES,LABOR,CONSTITUTIONAL
ASOCIACION COLOMBIANA DE CAMIONEROS,LABOR,CONSTITUTIONAL
CONSUELO MONTES Y OTROS,INDIVIDUAL,UNCONSTITUTIONAL
RAFAEL ERNESTO SUAREZ ORJUELA,INDIVIDUAL,UNCONSTITUTIONAL
MARIO DE JESUS CASTAÑEDA,INDIVIDUAL,UNCONSTITUTIONAL
INSTITUTO COLOMBIANO DE DERECHO PROCESAL ,THINK,UNCONSTITUTIONAL
ACADEMIA COLOMBIANA DE JURISPRUDENCIA,THINK,CONSTITUTIONAL
DOLLY ASTRID OSPINA ,INDIVIDUAL,UNCONSTITUTIONAL
INSTITUTO COLOMBIANO DE DERECHO TRIBUTARIO ,THINK,UNCONSTITUTIONAL
RAMIRO BEJARANO GUZMAN,INDIVIDUAL,CONSTITUTIONAL
JOHANA MARIA GARZON,INDIVIDUAL,CONSTITUTIONAL
JAIME JURADO ALVARAN,INDIVIDUAL,UNCONSTITUTIONAL
INSTITUTO COLOMBIANO DE DERECHO PROCESAL,THINK,CONSTITUTIONAL
ACADEMIA COLOMBIANA DE JURISPRUDENCIA ,THINK,CONSTITUTIONAL
UNION DE TRABAJADORES DE LA INDUSTRIA DEL TRANSPORTE MARITIMO Y FLUVIAL,LABOR,UNCONSTITUTIONAL
ANDRES DE ZUBIRIA SAMPER,INDIVIDUAL,UNCONSTITUTIONAL
ALFREDO CASTANO MARTINEZ,INDIVIDUAL,UNCONSTITUTIONAL
GABRIEL HOLGUIN CARRIZOSA,INDIVIDUAL,CONSTITUTIONAL
ANTONIO EDUARDO BOHORQUEZ COLLAZOS,INDIVIDUAL,UNCONSTITUTIONAL
JORGE ENRIQUE TORRES GAMEZ,INDIVIDUAL,UNCONSTITUTIONAL
ALBERTO RUEDA MONTENEGRO,INDIVIDUAL,UNCONSTITUTIONAL
FELIX FRANCISCO HOYOS LEMUS,INDIVIDUAL,INHIBITION
IGNACIO CASTILLA CASTILLA,INDIVIDUAL,INHIBITION
"COLECTIVO DE ABOGADOS JOSE ALVEAR RESTREPO, ASOCIACION COLOMBIANA DE ABOGADOS DEFENSORES EDUARDO UMANA",ADVOCACY,UNCONSTITUTIONAL
RAFAEL ARCHBOLD JOSEPH,INDIVIDUAL,CONDITIONED
UNIVERSDIAD DEL ROSARIO,UNIVERSITY,UNCONSTITUTIONAL
CAMILO ALFONSO HERRERA URREGO,INDIVIDUAL,CONSTITUTIONAL
UNIVERSDIAD SANTO TOMAS,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD DEL ROSARIO,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD NACIONAL ,UNIVERSITY,CONSTITUTIONAL
"SORAYA HOWELL, HILMA YANET AGUIRRE, MERY MANTILLA, CYNTHIA LOPEZ, MONICA BARRIOS",INDIVIDUAL,CONSTITUTIONAL
AUDRIN BERMUDEZ ZEA,INDIVIDUAL,CONSTITUTIONAL
"CARLOS ALBERTO PAZ LAMIR, ARMANDO MORALES OCAMPO",INDIVIDUAL,UNCONSTITUTIONAL
FEDERACION NACIONAL DE CAFETEROS,TRADE,UNCONSTITUTIONAL
"ARTURO BESADA LOMBANA, JERSON ALVARADO MENDOZA, JOSE MIGUEL CUESTA MURGAS, MILCIADES RAMIREZ MELO, OWER JIMMY BORDA PARRA, BONIFACIO CHICUNQUE JUAJIBIOY",INDIVIDUAL,UNCONSTITUTIONAL
BLANCA ISABEL GARCIA LOPEZ,INDIVIDUAL,UNCONSTITUTIONAL
HAROLD BEDOYA PIZARRO,INDIVIDUAL,UNCONSTITUTIONAL
UNIVERSIDAD SANTO TOMAS,UNIVERSITY,UNCONSTITUTIONAL
EMPRESA COLOMBIANA TELECOMUNICACIONES,INDIVIDUAL,CONSTITUTIONAL
"FABIO MORON DIAZ, ANTONIO BARRERA CARBONELL",INDIVIDUAL,UNCONSTITUTIONAL
JUAN MANUEL ALVAREZ ZARATE,INDIVIDUAL,CONSTITUTIONAL
OSCAR FABIAN GUTIERREZ HERRAN,INDIVIDUAL,CONSTITUTIONAL
PABLO FELIPE ROBLEDO DEL CASTILLO,INDIVIDUAL,CONSTITUTIONAL
UNIVERSIDAD DE CARTAGENA,UNIVERSITY,CONSTITUTIONAL
"DAIRA CRISTINA PAREDES HERNANDEZ, BYRON ALFONSO VALDIVIESO VALDIVIESO, FABIO ERNESTO PAREDES HERNANDEZ",INDIVIDUAL,CONDITIONED
DIEGO GERMAN MEJIA LEMOS,INDIVIDUAL,MIX (UNCONST)
CLAUDIO HENRY YAMA SANTACRUZ,INDIVIDUAL,UNCONSTITUTIONAL
NAYID ABU PAGER SAENZ,INDIVIDUAL,UNCONSTITUTIONAL
AYDA MILENA NAVIA CASTILLO,INDIVIDUAL,UNCONSTITUTIONAL
MARTHA ISABEL CARVAJAL RAMOS,INDIVIDUAL,UNCONSTITUTIONAL
ALEXANDER LOPEZ MAYA,INDIVIDUAL,UNCONSTITUTIONAL
ADOLFO LEON LOPEZ GIRALDO,INDIVIDUAL,UNCONSTITUTIONAL
JOSE ALONSO CRUZ PEREZ,INDIVIDUAL,UNCONSTITUTIONAL
JUAN CARLOS MELO,INDIVIDUAL,CONSTITUTIONAL
JORGE ENRIQUE IBANEZ NAJAR,INDIVIDUAL,CONSTITUTIONAL
KARINA MARIN FLOREZ,INDIVIDUAL,UNCONSTITUTIONAL
ASOCIACION NACIONAL DE FONDOS DE EMPLEADOS,TRADE,UNCONSTITUTIONAL
FONDO DE GARANTIAS DE ENTIDADES COOPERATIVAS,TRADE,CONSTITUTIONAL
ASOCIACION NACIONAL DE CAJAS DE COMPESACION FAMILIAR,TRADE,CONSTITUTIONAL
"FUNDACION MANUEL CEPEDA VARGAS, ASOCIACION NACIONAL DE AYUDA ANDAS, FENSUAGRO, FUNDACION COMITE DE SOLIDARIDAD CON LOS PRESOS POLITICOS, ASFADDES",ADVOCACY,UNCONSTITUTIONAL
COMISION COLOMBIANA DE JURISPRUDENCIA,ADVOCACY,UNCONSTITUTIONAL
UNIVERSIDAD EXTERNADO,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD LIBRE,UNIVERSITY,UNCONSTITUTIONAL
CONSEJO NACIONAL DE LAICOS DE COLOMBIA,ADVOCACY,INHIBITION
MARTIN ACERO SALAZAR,INDIVIDUAL,CONSTITUTIONAL
NINFA INES ANDRADE NAVARRETE,INDIVIDUAL,UNCONSTITUTIONAL
FUNDACIUDADANO,ADVOCACY,UNCONSTITUTIONAL
GUSTAVO ADOLFO JARAMILLO GARCIA,INDIVIDUAL,UNCONSTITUTIONAL
AFIN COLOMBIA,TRADE,UNCONSTITUTIONAL
JUAN JOSE RODRIGUEZ ESPITIA,INDIVIDUAL,CONSTITUTIONAL
COLECTIVO DE ABOGADOS JOSE ALVEAR RESTREPO,ADVOCACY,CONDITIONED
COLEGIO DE ABOGADOS PENALISTAS DE BOGOTA Y CUNDINAMARCA,LABOR,CONSTITUTIONAL
COLEGIO DE ABOGADOS ROSARISTAS,LABOR,CONSTITUTIONAL
CARLOS ANDRESS TELLEZ,INDIVIDUAL,UNCONSTITUTIONAL
CENTRAL UNITARIA DE TRABAJADORES,LABOR,UNCONSTITUTIONAL
ASOFONDOS,TRADE,CONSTITUTIONAL
ASOCIACION COLOMBIANA DE CORREDORES DE SEGUROS,LABOR,CONSTITUTIONAL
UNIVERSIDAD DE LOS ANDES,UNIVERSITY,CONSTITUTIONAL
DANIEL ANDRES VARGAS QUIROGA,INDIVIDUAL,CONDITIONED
UNIVERSDIAD JAVERIANA,UNIVERSITY,MIX (UNCONST)
