name,Level,Type
Fernando Linares,Individual,Individual
Amnesty International,International,Advocacy
Association of the Bar of the City of New York,International,Lawyers
Lawyers Committee for Human Rights,International,Lawyers
Asociacion Centroamericana de Familiares de Detenidos-Desaparecidos,International,Advocacy
Minnesota Lawyers International Human Rights Committee,International,Lawyers
The Association of the Bar of the City of New York,International,Lawyers
The Lawyers Committee for Human Rights,International,Lawyers
The International Human Rights Law Institute of DePaul University College of Law,Local,Academia
"The Netherlands Institute of Human Rights (""SIM"")",International,Advocacy
The International Human Rights Law Group,International,Lawyers
International Legal Advisors Esq.,International,Lawyers
Foundation for the Development of International Law,International,Other
Oscar Augusto Diaz,Individual,Individual
Heriberto Manuel Benitez,Individual,Individual
CELS,Local,Advocacy
CEJIL,International,Advocacy
Ombudsman of El Salvador,Local,Official
Ezequiel Heffes,Individual,Individual
International Human Rights Law Group,International,Lawyers
Alberto Borea,Individual,Individual
Curtis Francis Doebbler,Individual,Individual
The International Commission of Jurists,International,Lawyers
Legal Research Institute UNAM,Local,Academia
International Reproductive and Sexual Health Law Program,International,Advocacy
University of Toronto Law School,Local,Academia
Women's Link Worldwide,International,Advocacy
World Organization Against Torture,International,Advocacy
TRIAL-Track Impunity Always,International,Advocacy
Global Justice Centre,International,Advocacy
Human Rights Program of the Universidad de los Andes,Local,Academia
Human Rights Watch,International,Advocacy
Program in Human Rights of the Universidad Iberoamericana de Mexico,Local,Academia
Horvitz & Levy LLP,Local,Lawyers
Essex University Law School,Local,Academia
International Center for Transitional Justice and Redress,International,Advocacy
Harvard Law Student Advocates for Human Rights,Local,Academia
Interights,International,Advocacy
"The Organization of Indigenous Syndics of 
Nicaragua",Local,Advocacy
The Assembly of First Nations,Local,Advocacy
Hector Ledesma,Individual,Individual
Michelangela Scalabrino,Individual,Individual
The Center of Investigation and Legal Assistance in International Law,International,Lawyers
Jorge Santistevan de Noriega,Individual,Individual
Mexican Lawyers Professional Association,Local,Lawyers
Shirley Richards,Individual,Individual
Lawyers Christian Fellowship,Local,Advocacy
DEJUSTICIA,Local,Advocacy
Alliance Defense Fund,Local,Advocacy
Jorge Rafael Scala,Individual,Individual
Law School Regent University,Local,Academia
Carolina Restrepo Herrera,Individual,Individual
Barbara Mora Martinez,Individual,Individual
Alvaro Amaya Villareal,Individual,Individual
Mark Mudri,Individual,Individual
Ruth Ross,Individual,Individual
Andrea Minichiello Williams,Individual,Individual
Center for Economic Research and Education,Local,Academia
Jose Heraldo Gallardo,Individual,Individual
"Consorcio
Latinoamericano Contra el Aborto Inseguro",International,Advocacy
Fundacion Regional de Asesoria en Derechos Humanos,International,Advocacy
Judith Salgado Alvarez,Individual,Individual
Marta Dolores,Individual,Individual
Natalia Torres Zuniga,Individual,Individual
"Julieta
Rossi",Individual,Individual
Victor Abramovich,Individual,Individual
Catalina Martinez Coral,Individual,Individual
Monica Arango Olaya,Individual,Individual
"Public Interest Legal Clinic of
the Law School of the Universidad de Palermo",Local,Academia
ELEMENTA,Local,Advocacy
Flavia Piovesan,Individual,Individual
Laura Elisa Perez,Individual,Individual
Laura Pautassi,Individual,Individual
Pontificia Universidad Catolica de Ecuador,Local,Academia
Office of the Ombudsman of Ecuador,Local,Official
Ludovic Hennebel,Individual,Individual
Siro L. De Martini,Individual,Individual
Maria Mosquera Ayala.,Individual,Individual
Fundacion Vida Solidaria,Local,Advocacy
The Legal Clinic of the University of San Francisco in Quito,Local,Academia
The Colombian Association of Retired Military,Local,Advocacy
Visible Heroes Foundation,Local,Advocacy
Association of Victims of the Colombian Guerrilla,Local,Advocacy
Pax Romana International Catholic Movement for Intellectual and Cultural Affairs,International,Advocacy
German Association of Judges,Local,Lawyers
American Bar Association,Local,Lawyers
Human Rights in Practice,International,Advocacy
The Chair of Human Rights of the Faculty of Law of the National University of Cuyo,Local,Academia
Gilma Tatiana Rincon Covelli,Individual,Individual
"Union Progresista de Fiscales, Spain",Local,Lawyers
"Neue Richter Vereinigung, Germany",Local,Lawyers
Jueces para la Democracia,Local,Lawyers
Asociacion Civil por la Igualdad y la Justicia,Local,Advocacy
Asociacion por los Derechos Civiles,Local,Advocacy
Roberto Merino,Individual,Individual
Red Iberoamericana de Jueces,International,Lawyers
International Affairs Committee of the National Lawyers Guild,Local,Lawyers
UNAM Law School,Local,Lawyers
Harvard Law School Human Rights Clinic,Local,Academia
University of Texas Human Rights Clinic,Local,Academia
CIDE,Local,Academia
ITAM,Local,Academia
Asociacion para la Prevencion de la Tortura,Local,Academia
Free Law School Human Rights Clinic,Local,Academia
Mexican Commission for the Defense and Promotion of Human Rights A.C.,Local,Advocacy
Centro Mexicano de Derecho Ambiental,Local,Lawyers
Asociacion Interamericana para la Defensa del Medio Ambiente,Local,Advocacy
Universidad Iberoamericana,Local,Academia
Earth Rights International,International,Advocacy
International Forensic Program of Physicians for Human Rights,International,Advocacy
Jo-Marie Burt,Individual,Individual
The Flora Tristan Peruvian Women Center,Local,Advocacy
Aurora Vicar Association,Local,Advocacy
Research and Training Institute for Women and the Family,Local,Advocacy
Environmental Defense Law Center,Local,Advocacy
The Institute of Comparative Studies in Criminal and Social Sciences of Argentina,Local,Academia
Eugenio Zaffaroni,Individual,Individual
Irish Centre for Human Rights of National University of Ireland,Local,Academia
Due Process of Law Foundation,International,Advocacy
Curtis Doebbler,Individual,Individual
The Inter-American Press Association,International,Advocacy
Hermes Navarro del Valle,Individual,Individual
Sergio Garcia¡ Valdes,Individual,Individual
Simon Olleson,Individual,Individual
James Crawford,Individual,Individual
The Independent Journalism Defense Association,Local,Advocacy
Organizacion Nacional Indigena de Colombia,Local,Advocacy
Instituto de Defensa Legal de Peru,Local,Advocacy
The Office of the Ombudsman of Peru,Local,Official
Astrid Valencia,Individual,Individual
Francisco Chicas,Individual,Individual
Sonia Rubio Padilla,Individual,Individual
Maria Valdes Leal,Individual,Individual
Mexican Human Rights and Democracy Institute,Local,Advocacy
Erik  Ramirez,Individual,Individual
Spanish Association for International Human Rights Law,Local,Lawyers
WOLA,Local,Advocacy
Victoria Unzueta Reyes,Individual,Individual
Center for Economic Investigation and Teaching,Local,Academia
Gabriela Rodriguez Huerta,Individual,Individual
Karen Hudlet Vazquez,Individual,Individual
The Miguel Agustin Human Rights Center,Local,Advocacy
Santa Clara University,Local,Academia
University of Sussex,Local,Academia
Yale University,Local,Academia
Center for Reproductive Rights,International,Advocacy
Northwestern University,Local,Academia
Human Rights Clinic of the Universidad de Palermo,Local,Academia
Universidad Carlos III,Local,Academia
World Press Freedom Committee,International,Advocacy
International Human Rights Clinic of Seattle University Law School,Local,Academia
Legal Clinic at the Universidad de San Francisco Quito School,Local,Academia
Human Rights Center at the Pontificia Universidad Catolica de Ecuador,Local,Academia
Regional Alliance for Freedom of Expression and Information,International,Advocacy
International Human Rights Clinic of Yale University,Local,Academia
Forest Peoples Programme,International,Advocacy
Fundacion Pro bono-Colombia,Local,Lawyers
Rights International,International,Advocacy
Ruben Hernandez Valle,Individual,Individual
Asociacion Dominicana de Derecho Administrativo,Local,Lawyers
Netherlands Institute of Human Rights of the University of Utrecht,Local,Academia
Amira Esquivel Utreras,Individual,Individual
Luciano Parejo Alfonso,Individual,Individual
Libardo Rodriguez Rodriguez,Individual,Individual
Gladys Camacho Cepeda,Individual,Individual
Asociacion Argentina de Derecho Procesal,Local,Lawyers
Giuseppe Ferrari,Individual,Individual
Inter-American Bar Association,International,Lawyers
Agustin de Asis Roig,Individual,Individual
Centro Colombiano de Derecho Procesal Constitucional,Local,Lawyers
Jaime Rodriguez-Arana,Individual,Individual
Victor  Hernandez Mendible,Individual,Individual
Eduardo Jorge Prats,Individual,Individual
Observatorio Iberoamericano de la Democracia,International,Lawyers
Javier Barnes,Individual,Individual
Marta Franch Saguer,Individual,Individual
Miriam Mabel Ivanega,Individual,Individual
Jose Benavides,Individual,Individual
Luis Chase Plate,Individual,Individual
Diana Arteaga Macias,Individual,Individual
Asociacion Iberoamericana de Derecho Publico y Administrativo,International,Lawyers
New York City Bar Association,Local,Lawyers
Henry Henriquez Machado,Individual,Individual
Pablo Gutierrez Colantuono,Individual,Individual
Universidad Catolica Andres Bello,Local,Academia
Asociacion Mexicana de Derecho Administrativo,Local,Lawyers
Universidad Catolica Argentina,Local,Lawyers
Carlos  Herrera Maldonado,Individual,Individual
Humberto Prado Sifontes,Individual,Individual
International Bar Association,International,Lawyers
UNAM,Local,Academia
Universidad de Valencia,Local,Academia
The Committee to Protect Journalists,International,Advocacy
Universidad de Buenos Aires,Local,Academia
Legislator of Buenos Aires,Local,Official
Comision Provincial por la Memoria,Local,Advocacy
Programa de Accion por la Igualdad y la Inclusion Social,Local,Academia
Universidad de Los Andes,Local,Academia
The International Foundation for the Protection of Human Rights Defenders,International,Advocacy
World Organisation Against Torture,International,Advocacy
Corporacion Colectivo de Abogados Jose Alvear Restrepo,Local,Advocacy
"Movimiento Nacional de
Derechos Humanos",Local,Advocacy
Una Ventana a la Libertad,Local,Advocacy
Comite de Familiares de Detenidos Desaparecidos,Local,Advocacy
Robert F. Kennedy Memorial Center for Human Rights,Local,Advocacy
Centro de Derechos Economicos y Sociales,Local,Academia
Centro de Documentacion en Derechos Humanos Segundo Montes Mozo,Local,Advocacy
Casa Alianza Honduras,Local,Advocacy
Centro para la Accion Legal en Derechos Humanos,Local,Advocacy
"Programa
Venezolano de Accion-Educacion en Derechos Humanos",Local,Advocacy
Comite Permanente de Defensa de los Derechos Humanos de Orellana,Local,Advocacy
Grupo Interdisciplinario de Derechos Humanos de Medellin,Local,Advocacy
Comision Mexicana de Defensa y Promocion de los Derechos Humanos,Local,Advocacy
Centro de Iniciativas Democraticas,Local,Advocacy
Instituto de Defensa Legal,Local,Advocacy
Asociacion Pro Derechos Humanos,Local,Advocacy
Coordinadora Nacional de Derechos de Peru,Local,Advocacy
Fundacion Interamericana de Defesa de Direitos Humanos,International,Advocacy
Comision Colombiana de Juristas,Local,Advocacy
Coordinadora de Derechos Humanos del Paraguay,Local,Advocacy
"Abogados y Abogadas del Noroeste
Argentino en Derechos Humanos y Estudios Sociales",Local,Lawyers
Movimiento de Mujeres Dominico-Haitianas,Local,Advocacy
"Human Rights Without Frontiers
International",International,Advocacy
University of Virginia School of Law International Human Rights Law Clinic,Local,Academia
Human Rights Network International,International,Advocacy
The Center for International Human Rights Law,International,Advocacy
International League for Human Rights,International,Advocacy
"University of Minnesota
Human Rights Center",Local,Academia
International Human Rights Clinic of George Washington University,Local,Academia
European Roma Rights Centre,International,Advocacy
"Washington College of Law Center for Human Rights
and Humanitarian Law",Local,Academia
University of Essex Human Rights Centre,Local,Academia
"Union Internationale
des Avocats",International,Lawyers
Benjamin Cuellar Martinez,Individual,Individual
Matilde Hernandez Espinoza,Individual,Individual
Carlos Ayala,Individual,Individual
Pedro Nikken,Individual,Individual
Alejandro Ponce,Individual,Individual
The Brazilian Institute of Criminal Science,Local,Academia
Colectivo de Derechos de Infancia y Adolescencia de Argentina,Local,Advocacy
The Human Rights Institute of Columbia Law School,Local,Academia
Human Rights Advocates,International,Advocacy
University of San Francisco Center for Law and Global Justice,Local,Academia
The Legal Clinic of International Law of Human Rights of the Faculty of Law of Aix-en-Provence,Local,Academia
Bernard Dickens,Individual,Individual
Monica Arango,Individual,Individual
Rebecca Cook,Individual,Individual
Lilian Sepulveda,Individual,Individual
